遗愿清单,2007,8.7,431473人
魔女宅急便,1989,8.7,437643人
大佛普拉斯,2017,8.7,428954人
可可西里,2004,8.9,290048人
东京教父,2003,9.0,209957人
雨人,1988,8.7,388932人
城市之光,1931,9.3,137903人
恋恋笔记本,2004,8.6,641827人
心灵奇旅,2020,8.7,921111人
源代码,2011,8.5,802875人
初恋这件小事,2010,8.5,950971人
海边的曼彻斯特,2016,8.6,498527人
人工智能,2001,8.7,425636人
虎口脱险,1966,8.9,243628人
萤火虫之墓,1988,8.7,392642人
波西米亚狂想曲,2018,8.6,575013人
青蛇,1993,8.6,501229人
罗生门,1950,8.8,299885人
终结者2：审判日,1991,8.8,327095人
疯狂的麦克斯4：狂暴之路,2015,8.7,504246人
新龙门客栈,1992,8.7,423404人
奇迹男孩,2017,8.6,533560人
二十二,2015,8.7,283048人
无耻混蛋,2009,8.6,453634人
千钧一发,1997,8.8,279323人
崖上的波妞,2008,8.6,465851人
房间,2015,8.8,357979人
血钻,2006,8.7,363629人
彗星来的那一夜,2013,8.5,544339人
黑客帝国2：重装上阵,2003,8.7,389121人
步履不停,2008,8.8,266425人
魂断蓝桥,1940,8.8,265862人
战争之王,2005,8.7,351328人
爱乐之城,2016,8.4,844688人
末路狂花,1991,8.9,232817人
火星救援,2015,8.5,690835人
花束般的恋爱,2021,8.6,545585人
谍影重重2,2004,8.7,336727人
燃情岁月,1994,8.8,275898人
千年女优,2001,8.8,248961人
阿飞正传,1990,8.5,485416人
再次出发之纽约遇见你,2013,8.6,411306人
哈利·波特与死亡圣器(上),2010,8.5,535091人
谍影重重,2002,8.6,405940人
朗读者,2008,8.6,440672人
弱点,2009,8.7,287779人
芙蓉镇,1987,9.2,120401人
海洋,2009,9.1,153381人
香水,2006,8.5,526357人
穿越时空的少女,2006,8.6,367741人
我爱你,2011,9.0,159326人
地球上的星星,2007,8.9,196978人
